month,actual,forecast
3/1/2018 0:00,583934,587429.4729
4/1/2018 0:00,594163,591437.4093
5/1/2018 0:00,589993,603381.1059
6/1/2018 0:00,582150,591112.9595
7/1/2018 0:00,598000,590031.5312
8/1/2018 0:00,601250,608063.695
9/1/2018 0:00,610000,605833.5116
10/1/2018 0:00,625000,622860.734
11/1/2018 0:00,650000,654807.0906
12/1/2018 0:00,658000,653651.9064
1/1/2019 0:00,660000,673754.6768
2/1/2019 0:00,665000,662679.4706
3/1/2019 0:00,670000,666165.0205
4/1/2019 0:00,672000,675497.8873
5/1/2019 0:00,675000,676736.3678
6/1/2019 0:00,678000,688281.066
7/1/2019 0:00,680000,682648.2596
8/1/2019 0:00,750000,692692.2101
9/1/2019 0:00,760000,764896.0927
10/1/2019 0:00,765000,775432.3273
11/1/2019 0:00,770000,776778.5546
12/1/2019 0:00,775000,773252.5697
1/1/2020 0:00,780000,768776.8774
2/1/2020 0:00,785000,772651.8304
3/1/2020 0:00,850000,806061.2984
4/1/2020 0:00,940000,936980.342
5/1/2020 0:00,930000,959983.9227
6/1/2020 0:00,920000,937781.7975
7/1/2020 0:00,1020000,931441.6833
8/1/2020 0:00,1010000,1033902.46
9/1/2020 0:00,1000000,1011153.685
10/1/2020 0:00,990000,1014611.299
11/1/2020 0:00,980000,999573.9621
12/1/2020 0:00,960000,982661.5122
1/1/2021 0:00,950000,951529.4478
2/1/2021 0:00,940000,938732.1287
3/1/2021 0:00,930000,946846.0436
4/1/2021 0:00,920000,934300.4049
5/1/2021 0:00,910000,924442.1377
6/1/2021 0:00,900000,909689.52
7/1/2021 0:00,890000,906138.7339
8/1/2021 0:00,880000,895921.4687
9/1/2021 0:00,870000,885437.9114
10/1/2021 0:00,860000,870547.5648
11/1/2021 0:00,850000,857874.9756
12/1/2021 0:00,840000,860282.4571
1/1/2022 0:00,830000,844054.4658
2/1/2022 0:00,820000,836474.4781
3/1/2022 0:00,810000,826523.7714
4/1/2022 0:00,850000,818685.5725
5/1/2022 0:00,890000,858423.9402
6/1/2022 0:00,930000,899328.8758
7/1/2022 0:00,970000,940740.6645
8/1/2022 0:00,960000,988341.1151
9/1/2022 0:00,950000,965756.6498
10/1/2022 0:00,940000,943231.2802
11/1/2022 0:00,980000,947236.4658
12/1/2022 0:00,1020000,1000059.538
1/1/2023 0:00,1030000,1038128.041
2/1/2023 0:00,1015000,1032184.533
3/1/2023 0:00,1010000,1043681.899
4/1/2023 0:00,1050000,1027946.39
5/1/2023 0:00,1040000,1051156.429
6/1/2023 0:00,1060000,1052756.159
7/1/2023 0:00,954199,1067128.194
8/1/2023 0:00,950151,970434.8324
9/1/2023 0:00,920863,968405.1351
10/1/2023 0:00,1010881,939887.3651
11/1/2023 0:00,1020548,1040911.911
12/1/2023 0:00,1020702,1028614.259
1/1/2024 0:00,1034609,1037852.578
2/1/2024 0:00,1032718,1061146.117
3/1/2024 0:00,1144430,1058342.744
4/1/2024 0:00,1198769,1166727.047
5/1/2024 0:00,1216236,1235667.43
6/1/2024 0:00,1222195,1236050.465
7/1/2024 0:00,1278844,1257909.907
8/1/2024 0:00,1250141,1305768.464
9/1/2024 0:00,1288365,1253667.729
10/1/2024 0:00,1388652,1275835.224
11/1/2024 0:00,1351090,1407957.473
12/1/2024 0:00,1357613,1364569.603
1/1/2025 0:00,1465571,1377435.899
2/1/2025 0:00,1518703,1497717.587
3/1/2025 0:00,1659994,1538949.778
4/1/2025 0:00,1745782,1681096.611
5/1/2025 0:00,1731187,1782135.927
6/1/2025 0:00,1722603,1768613.966
7/1/2025 0:00,1738511,1738740.516
8/1/2025 0:00,1826020,1792153.292
